time,x,y,z
5.680136,0.145,-0.275,-0.203
5.69241,0.106,-0.239,-0.206
5.69753,-0.044,-0.129,-0.203
5.698725,-0.071,-0.111,-0.206
5.701303,-0.098,-0.092,-0.205
5.70339,-0.123,-0.074,-0.205
5.706067,-0.149,-0.056,-0.21
5.711742,-0.171,-0.039,-0.207
5.711836,-0.192,-0.024,-0.209
5.717984,-0.212,-0.007,-0.211
5.721092,-0.255,0.04,-0.219
5.723538,-0.262,0.054,-0.222
5.737296,-0.267,0.066,-0.224
5.741385,-0.217,0.129,-0.213
5.756764,-0.2,0.137,-0.205
5.776064,-0.004,0.203,-0.131
5.779309,0.208,0.253,-0.053
5.781945,0.235,0.256,-0.049
5.784556,0.258,0.259,-0.047
5.787643,0.281,0.262,-0.046
5.792825,0.304,0.265,-0.043
5.793186,0.319,0.268,-0.049
5.800679,0.337,0.269,-0.056
5.80576,0.366,0.28,-0.074
5.805844,0.376,0.285,-0.088
5.820728,0.395,0.305,-0.123
5.825139,0.42,0.354,-0.245
5.841241,0.422,0.346,-0.277
5.862319,0.398,0.212,-0.282
5.86491,0.28,0.18,-0.127
5.869746,0.228,0.234,-0.08
5.872251,0.202,0.273,-0.061
5.874717,0.176,0.322,-0.045
5.881682,0.149,0.382,-0.036
5.88464,0.089,0.593,-0.06
5.887292,0.075,0.673,-0.091
5.889724,0.063,0.754,-0.129
5.89237,0.057,0.833,-0.173
5.900609,0.053,0.911,-0.22
5.90498,0.054,1.181,-0.424
5.907761,0.055,1.236,-0.469
5.9198,0.059,1.285,-0.51
5.92263,0.07,1.432,-0.647
5.925123,0.075,1.444,-0.663
5.938671,0.08,1.45,-0.673
5.957606,0.124,1.381,-0.668
5.976683,0.204,1.105,-0.549
5.980521,0.314,0.669,-0.306
5.983446,0.33,0.61,-0.27
5.985613,0.341,0.554,-0.231
5.988496,0.353,0.496,-0.193
5.991006,0.366,0.44,-0.153
6.000876,0.376,0.385,-0.113
6.005662,0.404,0.151,0.094
6.008726,0.403,0.117,0.136
6.020123,0.404,0.09,0.177
